City,Subject_Description_9,Prerequisite_2_grade,Subject_Objective_5,Subject_Objective_20,Subject_or_Unit_9,Subject_or_Unit_36,Subject_Objective_8,Subject_Description_6,Subject_Objective_6,Local_Fees,Subject_Objective_29,Faculty,Subject_Objective_18,Subject_Objective_17,Subject_Description_2,Subject_Description_19,Subject_Description_35,Subject_or_Unit_23,Subject_Objective_38,Subject_Objective_32,Subject_Objective_39,Subject_Description_4,Remarks,Subject_or_Unit_13,Distance,Subject_Description_12,Course,Subject_Description_21,Subject_Objective_33,Subject_or_Unit_18,Subject_or_Unit_16,Subject_Description_10,Subject_Objective_3,Subject_Objective_9,Subject_Description_29,Subject_Objective_26,Subject_or_Unit_32,Subject_or_Unit_2,Subject_Objective_28,Subject_Description_15,Subject_Description_14,Blended,Subject_Objective_40,Subject_Objective_30,Duration,Subject_Description_39,Subject_or_Unit_27,Duration_Time,Subject_Description_30,Subject_or_Unit_33,Subject_or_Unit_29,Subject_Objective_7,Subject_Description_1,Subject_Objective_4,Subject_or_Unit_15,Subject_Objective_23,Prerequisite_1,Subject_or_Unit_4,Prerequisite_3_grade,Prerequisite_3,Subject_Description_36,Prerequisite_2,Subject_or_Unit_6,Course_Lang,Subject_or_Unit_10,Subject_or_Unit_7,Subject_Description_18,Level_Code,Subject_Description_7,Subject_Objective_37,Subject_Objective_25,Subject_Objective_34,Subject_or_Unit_34,Subject_Objective_19,Subject_or_Unit_28,Subject_Description_27,Subject_Description_25,Face_to_Face,Subject_Description_5,Subject_Objective_10,Online,Subject_or_Unit_20,Subject_Description_33,Subject_Description_28,Subject_Description_31,Career_Outcomes,Subject_Description_37,Subject_Description_11,Subject_or_Unit_21,Subject_Description_40,Subject_Objective_14,Subject_Objective_36,Int_Fees,Subject_Description_16,Subject_Description_24,Subject_Description_8,Subject_Objective_24,Subject_or_Unit_39,Subject_Objective_11,Subject_Description_32,Subject_Objective_16,Availability,Subject_Objective_12,Subject_Objective_35,Subject_Objective_2,Subject_or_Unit_8,Subject_or_Unit_3,Offline,Subject_or_Unit_19,Subject_or_Unit_30,Subject_Description_22,Prerequisite_1_grade,Full_Time,Subject_Objective_27,Subject_Objective_15,Subject_or_Unit_38,Website,Subject_or_Unit_35,Subject_or_Unit_5,Country,Subject_or_Unit_40,Subject_or_Unit_37,Currency_Time,Description,Subject_Description_26,Subject_or_Unit_22,Subject_Description_23,Subject_or_Unit_25,Subject_or_Unit_14,Part_Time,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_24,Subject_Objective_21,Subject_Description_38,Subject_or_Unit_11,Subject_Description_20,Subject_Objective_31,Subject_Description_34,Subject_or_Unit_26,Subject_or_Unit_31,Subject_Objective_22,University,Subject_or_Unit_17,Subject_Description_17,Subject_or_Unit_12,Currency,Subject_Description_3
Rockhampton,,6.0,,,,,,,,"3,000 ",,Tourism and Hotel Management,,,,,,,,,,,['The local fees are for the full course'],,no,,SIT20316 - Certificate II in Hospitality,,,,,,,,,,,,,,,no,,,6,,,Months,,,,,,,,,N/A,,,,,IELTS,,English,,,,VOC,,,,,,,,,,yes,,,yes,,,,,,,,,,,,Not available for 2021,,,,,,,,,A,,,,,,yes,,,,N/A,no,,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fcertificate-ii-in-hospitality&auth=3%2BKdSlboaSddJvOku5ptYA&profile=_default&rank=13&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+1%3A+Certificate+I%22%2CstudyLevel%3A%22Level+2%3A+Certificate+II%22%2CstudyLevel%3A%22Level+3%3A+Certificate+III%22%2CstudyLevel%3A%22Level+4%3A+Certificate+IV%22%2CstudyLevel%3A%22Level+5%3A+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Advanced+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Associate+Degree%22%2CstudyLevel%3A%22Level+7%3A+Bachelor+Degree%22%2CstudyLevel%3A%22Level+8%3A+Bachelor+Honours+Degree%22%5D,,,Australia,,,year,Do you love talking and meeting new people? Have you thought of a career in the hospitality industry?,,,,,,no,,,,,,,,,,,,,CQ University,,,,AUD,
Online,,6.0,,,,,,,,"3,000 ",,Tourism and Hotel Management,,,,,,,,,,,['The local fees are for the full course'],,no,,SIT20316 - Certificate II in Hospitality,,,,,,,,,,,,,,,no,,,6,,,Months,,,,,,,,,N/A,,,,,IELTS,,English,,,,VOC,,,,,,,,,,yes,,,yes,,,,,,,,,,,,Not available for 2021,,,,,,,,,A,,,,,,yes,,,,N/A,no,,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fcertificate-ii-in-hospitality&auth=3%2BKdSlboaSddJvOku5ptYA&profile=_default&rank=13&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+1%3A+Certificate+I%22%2CstudyLevel%3A%22Level+2%3A+Certificate+II%22%2CstudyLevel%3A%22Level+3%3A+Certificate+III%22%2CstudyLevel%3A%22Level+4%3A+Certificate+IV%22%2CstudyLevel%3A%22Level+5%3A+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Advanced+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Associate+Degree%22%2CstudyLevel%3A%22Level+7%3A+Bachelor+Degree%22%2CstudyLevel%3A%22Level+8%3A+Bachelor+Honours+Degree%22%5D,,,Australia,,,year,Do you love talking and meeting new people? Have you thought of a career in the hospitality industry?,,,,,,no,,,,,,,,,,,,,CQ University,,,,AUD,
Gladstone,,6.0,,,,,,,,"3,000 ",,Tourism and Hotel Management,,,,,,,,,,,['The local fees are for the full course'],,no,,SIT20316 - Certificate II in Hospitality,,,,,,,,,,,,,,,no,,,6,,,Months,,,,,,,,,N/A,,,,,IELTS,,English,,,,VOC,,,,,,,,,,yes,,,yes,,,,,,,,,,,,Not available for 2021,,,,,,,,,A,,,,,,yes,,,,N/A,no,,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fcertificate-ii-in-hospitality&auth=3%2BKdSlboaSddJvOku5ptYA&profile=_default&rank=13&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+1%3A+Certificate+I%22%2CstudyLevel%3A%22Level+2%3A+Certificate+II%22%2CstudyLevel%3A%22Level+3%3A+Certificate+III%22%2CstudyLevel%3A%22Level+4%3A+Certificate+IV%22%2CstudyLevel%3A%22Level+5%3A+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Advanced+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Associate+Degree%22%2CstudyLevel%3A%22Level+7%3A+Bachelor+Degree%22%2CstudyLevel%3A%22Level+8%3A+Bachelor+Honours+Degree%22%5D,,,Australia,,,year,Do you love talking and meeting new people? Have you thought of a career in the hospitality industry?,,,,,,no,,,,,,,,,,,,,CQ University,,,,AUD,
Mackay,,6.0,,,,,,,,"3,000 ",,Tourism and Hotel Management,,,,,,,,,,,['The local fees are for the full course'],,no,,SIT20316 - Certificate II in Hospitality,,,,,,,,,,,,,,,no,,,6,,,Months,,,,,,,,,N/A,,,,,IELTS,,English,,,,VOC,,,,,,,,,,yes,,,yes,,,,,,,,,,,,Not available for 2021,,,,,,,,,A,,,,,,yes,,,,N/A,no,,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fcertificate-ii-in-hospitality&auth=3%2BKdSlboaSddJvOku5ptYA&profile=_default&rank=13&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+1%3A+Certificate+I%22%2CstudyLevel%3A%22Level+2%3A+Certificate+II%22%2CstudyLevel%3A%22Level+3%3A+Certificate+III%22%2CstudyLevel%3A%22Level+4%3A+Certificate+IV%22%2CstudyLevel%3A%22Level+5%3A+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Advanced+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Associate+Degree%22%2CstudyLevel%3A%22Level+7%3A+Bachelor+Degree%22%2CstudyLevel%3A%22Level+8%3A+Bachelor+Honours+Degree%22%5D,,,Australia,,,year,Do you love talking and meeting new people? Have you thought of a career in the hospitality industry?,,,,,,no,,,,,,,,,,,,,CQ University,,,,AUD,
Online,,6.0,,,,,,,,"3,000 ",,Tourism and Hotel Management,,,,,,,,,,,['The local fees are for the full course'],,no,,SIT20316 - Certificate II in Hospitality,,,,,,,,,,,,,,,no,,,6,,,Months,,,,,,,,,N/A,,,,,IELTS,,English,,,,VOC,,,,,,,,,,yes,,,yes,,,,,,,,,,,,Not available for 2021,,,,,,,,,A,,,,,,yes,,,,N/A,no,,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fcertificate-ii-in-hospitality&auth=3%2BKdSlboaSddJvOku5ptYA&profile=_default&rank=13&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+1%3A+Certificate+I%22%2CstudyLevel%3A%22Level+2%3A+Certificate+II%22%2CstudyLevel%3A%22Level+3%3A+Certificate+III%22%2CstudyLevel%3A%22Level+4%3A+Certificate+IV%22%2CstudyLevel%3A%22Level+5%3A+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Advanced+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Associate+Degree%22%2CstudyLevel%3A%22Level+7%3A+Bachelor+Degree%22%2CstudyLevel%3A%22Level+8%3A+Bachelor+Honours+Degree%22%5D,,,Australia,,,year,Do you love talking and meeting new people? Have you thought of a career in the hospitality industry?,,,,,,no,,,,,,,,,,,,,CQ University,,,,AUD,
Brisbane,,6.0,,,,,,,,"3,000 ",,Tourism and Hotel Management,,,,,,,,,,,['The local fees are for the full course'],,no,,SIT20316 - Certificate II in Hospitality,,,,,,,,,,,,,,,no,,,6,,,Months,,,,,,,,,N/A,,,,,IELTS,,English,,,,VOC,,,,,,,,,,yes,,,yes,,,,,,,,,,,,Not available for 2021,,,,,,,,,A,,,,,,yes,,,,N/A,no,,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fcertificate-ii-in-hospitality&auth=3%2BKdSlboaSddJvOku5ptYA&profile=_default&rank=13&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+1%3A+Certificate+I%22%2CstudyLevel%3A%22Level+2%3A+Certificate+II%22%2CstudyLevel%3A%22Level+3%3A+Certificate+III%22%2CstudyLevel%3A%22Level+4%3A+Certificate+IV%22%2CstudyLevel%3A%22Level+5%3A+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Advanced+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Associate+Degree%22%2CstudyLevel%3A%22Level+7%3A+Bachelor+Degree%22%2CstudyLevel%3A%22Level+8%3A+Bachelor+Honours+Degree%22%5D,,,Australia,,,year,Do you love talking and meeting new people? Have you thought of a career in the hospitality industry?,,,,,,no,,,,,,,,,,,,,CQ University,,,,AUD,
Rockhampton,,6.0,,,,,,,,"3,220 ",,Computer Science & Information Technology,,,,,,,,,,,['The local fees are for the full course'],,no,,"ICT20115 - Certificate II in Information, Digital Media and Technology",,,,,,,,,,,,,,,no,,,6,,,Months,,,,,,,,,N/A,,,,,IELTS,,English,,,,VOC,,,,,,,,,,yes,,,no,,,,,,,,,,,,Not available for 2021,,,,,,,,,A,,,,,,yes,,,,N/A,yes,,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fcertificate-ii-in-information%2C-digital-media-and-technology&auth=W%2BIEIxeYmjoKuFgPOzx15w&profile=_default&rank=14&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+1%3A+Certificate+I%22%2CstudyLevel%3A%22Level+2%3A+Certificate+II%22%2CstudyLevel%3A%22Level+3%3A+Certificate+III%22%2CstudyLevel%3A%22Level+4%3A+Certificate+IV%22%2CstudyLevel%3A%22Level+5%3A+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Advanced+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Associate+Degree%22%2CstudyLevel%3A%22Level+7%3A+Bachelor+Degree%22%2CstudyLevel%3A%22Level+8%3A+Bachelor+Honours+Degree%22%5D,,,Australia,,,year,Take the next step in IT. This qualification will equip you with the skills and knowledge required to work effectively in an environment that utilises standard IT systems,,,,,,yes,,,,,,,,,,,,,CQ University,,,,AUD,
Mackay,,6.0,,,,,,,,"3,220 ",,Computer Science & Information Technology,,,,,,,,,,,['The local fees are for the full course'],,no,,"ICT20115 - Certificate II in Information, Digital Media and Technology",,,,,,,,,,,,,,,no,,,6,,,Months,,,,,,,,,N/A,,,,,IELTS,,English,,,,VOC,,,,,,,,,,yes,,,no,,,,,,,,,,,,Not available for 2021,,,,,,,,,A,,,,,,yes,,,,N/A,yes,,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fcertificate-ii-in-information%2C-digital-media-and-technology&auth=W%2BIEIxeYmjoKuFgPOzx15w&profile=_default&rank=14&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+1%3A+Certificate+I%22%2CstudyLevel%3A%22Level+2%3A+Certificate+II%22%2CstudyLevel%3A%22Level+3%3A+Certificate+III%22%2CstudyLevel%3A%22Level+4%3A+Certificate+IV%22%2CstudyLevel%3A%22Level+5%3A+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Advanced+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Associate+Degree%22%2CstudyLevel%3A%22Level+7%3A+Bachelor+Degree%22%2CstudyLevel%3A%22Level+8%3A+Bachelor+Honours+Degree%22%5D,,,Australia,,,year,Take the next step in IT. This qualification will equip you with the skills and knowledge required to work effectively in an environment that utilises standard IT systems,,,,,,yes,,,,,,,,,,,,,CQ University,,,,AUD,
Rockhampton,,6.0,,,,,,,,"3,445 ",,Computer Science & Information Technology,,,,,,,,,,,['The local fees are for the full course'],,no,,SIT20416 - Certificate II in Kitchen Operations,,,,,,,,,,,,,,,no,,,6,,,Months,,,,,,,,,N/A,,,,,IELTS,,English,,,,VOC,,,,,,,,,,yes,,,no,,,,,,,,,,,,Not available for 2021,,,,,,,,,A,,,,,,yes,,,,N/A,yes,,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fcertificate-ii-in-kitchen-operations&auth=6mR%2Bxl%2BCiu9xy6YJwesIDA&profile=_default&rank=15&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+1%3A+Certificate+I%22%2CstudyLevel%3A%22Level+2%3A+Certificate+II%22%2CstudyLevel%3A%22Level+3%3A+Certificate+III%22%2CstudyLevel%3A%22Level+4%3A+Certificate+IV%22%2CstudyLevel%3A%22Level+5%3A+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Advanced+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Associate+Degree%22%2CstudyLevel%3A%22Level+7%3A+Bachelor+Degree%22%2CstudyLevel%3A%22Level+8%3A+Bachelor+Honours+Degree%22%5D,,,Australia,,,year,,,,,,,no,,,,,,,,,,,,,CQ University,,,,AUD,
Mackay,,6.0,,,,,,,,"3,445 ",,Computer Science & Information Technology,,,,,,,,,,,['The local fees are for the full course'],,no,,SIT20416 - Certificate II in Kitchen Operations,,,,,,,,,,,,,,,no,,,6,,,Months,,,,,,,,,N/A,,,,,IELTS,,English,,,,VOC,,,,,,,,,,yes,,,no,,,,,,,,,,,,Not available for 2021,,,,,,,,,A,,,,,,yes,,,,N/A,yes,,,,https://www-search.cqu.edu.au/s/redirect?collection=2019-cqu-courses&url=https%3A%2F%2Fwww.cqu.edu.au%2Fcourses%2Fcertificate-ii-in-kitchen-operations&auth=6mR%2Bxl%2BCiu9xy6YJwesIDA&profile=_default&rank=15&query=%21null+-studyLevel%3A%22Short+-Course%22+%5BstudyLevel%3A%22Level+1%3A+Certificate+I%22%2CstudyLevel%3A%22Level+2%3A+Certificate+II%22%2CstudyLevel%3A%22Level+3%3A+Certificate+III%22%2CstudyLevel%3A%22Level+4%3A+Certificate+IV%22%2CstudyLevel%3A%22Level+5%3A+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Advanced+Diploma%22%2CstudyLevel%3A%22Level+6%3A+Associate+Degree%22%2CstudyLevel%3A%22Level+7%3A+Bachelor+Degree%22%2CstudyLevel%3A%22Level+8%3A+Bachelor+Honours+Degree%22%5D,,,Australia,,,year,,,,,,,no,,,,,,,,,,,,,CQ University,,,,AUD,
